time,heartRate
11:55:05,69
11:55:10,68
11:55:15,70
11:55:20,73
11:55:30,74
11:55:35,73
11:55:40,70
11:55:50,72
11:56:00,73
11:56:10,74
11:56:15,75
11:56:20,73
11:56:25,72
11:56:30,73
11:56:40,72
11:56:55,76
11:57:00,82
11:57:05,83
11:57:10,84
11:57:15,85
11:57:30,84
11:57:45,82
11:57:50,70
11:57:55,62
11:58:00,61
11:58:05,64
11:58:10,68
11:58:15,67
11:58:30,67
11:58:40,68
11:58:45,69
11:58:50,70
11:58:55,69
11:59:00,68
11:59:05,69
11:59:10,79
11:59:15,83
11:59:20,84
11:59:25,85
11:59:40,85
11:59:45,86
11:59:55,87
12:00:05,88
12:00:15,82
12:00:20,77
12:00:30,79
12:00:35,80
12:00:50,80
12:00:56,81
12:01:11,81
12:01:16,80
12:01:21,79
12:01:36,85
12:01:41,84
12:01:46,79
12:01:51,78
12:01:56,77
12:02:06,78
12:02:11,77
12:02:16,78
12:02:21,79
12:02:31,78
12:02:36,79
12:02:46,80
12:03:01,80
12:03:06,82
12:03:11,83
12:03:21,82
12:03:26,80
12:03:41,81
12:03:46,85
12:03:51,91
12:03:56,90
12:04:01,89
12:04:06,88
12:04:11,88
12:04:26,88
12:04:36,82
12:04:41,81
12:04:46,80
12:04:56,78
12:05:01,77
12:05:11,78
12:05:16,80
12:05:21,86
12:05:26,87
12:05:31,88
12:05:36,89
12:05:46,87
12:05:51,86
12:06:06,86
12:06:11,87
12:06:21,88
12:06:26,86
12:06:31,85
12:06:36,88
12:06:46,87
12:06:56,88
12:07:11,88
12:07:16,89
12:07:26,90
12:07:31,87
12:07:36,85
12:07:41,87
12:07:46,89
12:07:56,90
12:08:01,89
12:08:06,90
12:08:11,93
12:08:16,94
12:08:26,94
12:08:41,95
12:08:46,96
12:08:56,97
12:09:01,96
12:09:06,95
12:09:11,92
12:09:16,91
12:09:21,90
12:09:26,91
12:09:31,89
12:09:36,86
12:09:41,84
12:09:46,86
12:09:51,82
12:09:56,80
12:10:11,80
12:10:16,79
12:10:21,80
12:10:26,80
12:10:31,78
12:10:36,77
12:10:51,77
12:11:01,79
12:11:11,79
12:11:16,79
12:11:21,78
12:11:36,79
12:11:41,76
12:11:46,75
12:12:01,76
12:12:16,77
12:12:21,76
12:12:26,75
12:12:41,74
12:12:46,73
12:12:51,71
12:12:56,70
12:13:11,70
12:13:26,70
12:13:41,71
12:13:56,72
12:14:01,71
12:14:07,70
12:14:12,72
12:14:27,73
12:14:42,73
12:14:52,74
12:15:07,73
12:15:12,72
12:15:17,73
12:15:32,73
12:15:47,73
12:15:52,74
12:16:02,75
12:16:07,77
12:16:17,78
12:16:32,78
12:16:37,77
12:16:47,78
12:17:02,77
12:17:07,74
12:17:17,75
12:17:27,73
12:17:32,72
12:17:42,75
12:17:47,77
12:17:52,78
12:18:07,78
12:18:17,77
12:18:22,77
12:18:27,78
12:18:37,77
12:18:52,77
12:18:57,78
12:19:02,77
12:19:12,76
12:19:22,77
12:19:37,77
12:19:42,76
12:19:47,75
12:20:02,75
12:20:07,76
12:20:12,77
12:20:17,78
12:20:22,77
12:20:37,77
12:20:42,76
12:20:47,75
12:21:02,75
12:21:12,76
12:21:17,80
12:21:32,80
12:21:47,80
12:21:57,81
12:22:12,81
12:22:17,80
12:22:22,82
12:22:27,83
12:22:32,82
12:22:37,81
12:22:42,80
12:22:52,81
12:22:57,82
12:23:07,77
12:23:12,76
12:23:17,77
12:23:22,78
12:23:27,79
12:23:32,78
12:23:47,80
12:23:57,75
12:24:02,71
12:24:17,72
12:24:22,73
12:24:32,74
12:24:37,73
12:24:47,72
12:25:02,72
12:25:07,73
12:25:17,74
12:25:32,74
12:25:47,74
12:25:55,74
12:26:10,74
12:26:15,73
12:26:20,74
12:26:25,73
12:26:30,74
12:26:35,75
12:26:40,76
12:26:45,77
12:27:00,77
12:27:10,78
12:27:25,77
12:27:40,78
12:27:45,79
12:27:55,78
12:28:10,79
12:28:15,78
12:28:25,77
12:28:40,77
12:28:55,77
12:29:10,77
12:29:20,76
12:29:30,77
12:29:45,77
12:29:50,78
12:30:05,77
12:30:10,75
12:30:15,74
12:30:25,75
12:59:52,70
13:00:02,73
13:00:07,126
13:00:12,169
13:00:17,193
13:00:22,195
13:00:32,191
13:00:37,192
13:00:42,191
13:00:47,188
13:03:26,70
13:03:36,77
13:03:41,83
13:03:46,82
13:03:51,89
13:03:56,95
13:04:11,95
13:04:16,88
13:04:26,87
13:04:36,88
13:04:46,90
13:04:51,92
13:05:01,91
13:05:11,90
13:05:26,91
13:05:31,90
13:05:46,89
13:05:56,88
13:06:11,88
13:06:26,104
13:06:31,108
13:06:41,106
13:06:46,104
13:06:51,102
13:06:56,100
13:07:01,98
13:07:06,97
13:07:16,96
13:07:21,95
13:16:48,70
13:17:19,69
13:17:24,66
13:17:39,67
13:17:44,69
13:17:49,72
13:17:54,76
13:17:59,81
13:18:09,79
13:18:14,78
13:18:19,76
13:18:29,79
13:18:34,78
13:18:39,77
13:18:44,80
13:18:49,82
13:19:35,70
13:19:45,74
13:20:00,74
13:20:05,75
13:20:15,76
13:20:20,77
13:20:25,78
13:20:30,76
13:20:35,74
13:20:50,74
13:20:55,75
13:21:00,74
13:21:10,74
13:21:15,75
13:21:30,75
13:21:35,74
13:25:03,70
13:25:12,70
13:25:27,70
13:25:32,84
13:25:37,101
13:25:42,104
13:25:47,102
13:25:52,108
13:25:57,111
13:26:02,108
13:26:07,104
13:26:12,105
13:26:17,103
13:26:22,102
13:26:27,103
13:26:32,102
13:26:42,105
13:26:47,103
13:26:52,102
13:26:57,100
13:27:02,99
13:27:07,98
13:27:12,100
13:27:17,99
13:27:22,96
13:27:27,96
13:27:32,97
13:27:37,99
13:27:42,100
13:27:57,97
13:28:02,98
13:28:07,103
13:28:17,104
13:28:27,104
13:28:37,106
13:28:42,107
13:28:47,106
13:28:52,102
13:28:57,99
13:29:02,101
13:29:12,97
13:29:17,91
13:29:22,90
13:29:27,86
13:29:32,87
13:29:37,90
13:29:42,92
13:29:47,93
13:29:52,92
13:29:57,91
13:30:12,92
13:30:17,93
13:30:22,93
13:30:32,94
13:30:37,95
13:30:42,96
13:30:57,95
13:31:07,97
13:31:17,98
13:31:22,99
13:31:27,100
13:31:42,100
13:31:47,102
13:31:52,101
13:31:57,103
13:32:07,101
13:32:12,100
13:32:22,104
13:32:27,103
13:32:32,102
13:32:37,98
13:32:42,100
13:32:47,103
13:32:52,105
13:32:57,108
13:33:07,106
13:33:17,107
13:33:32,106
13:33:37,103
13:33:42,102
13:33:47,103
13:33:52,105
13:33:57,109
13:34:02,110
13:34:07,109
13:34:12,107
13:34:22,106
13:34:27,105
13:34:37,100
13:34:42,96
13:34:47,96
13:34:52,97
